                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                 1.2234,                 1.0029,                 1.5467,                0.72667,                0.81343,                0.80032,                0.53278,                  1.304,                0.94917,                 1.7156,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.2087,                0.98306,                 1.5492,                0.80688,                0.90299,                0.89858,                0.58198,                 1.3261,                0.84038,                 1.7177,               0.004654,               0.004654,               0.004654
                    110,                 1.1951,                0.93192,                 1.5163,                0.72327,                0.85821,                0.82732,                0.49591,                 1.3955,                 1.0238,                 1.8316,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.2171,                0.97427,                 1.5445,                0.83377,                0.83582,                0.87978,                0.58092,                 1.3743,                0.86534,                  1.774,               0.004555,               0.004555,               0.004555
                    112,                 1.2227,                0.97257,                 1.5298,                0.82733,                0.78358,                 0.8529,                 0.5621,                 1.3344,                0.90069,                 1.7303,              0.0045055,              0.0045055,              0.0045055
                    113,                  1.195,                0.96248,                 1.5232,                0.78378,                0.86567,                 0.8577,                0.56136,                  1.349,                0.83898,                 1.7233,               0.004456,               0.004456,               0.004456
                    114,                 1.2271,                0.97973,                  1.536,                0.75172,                0.81343,                0.81523,                0.53018,                 1.3292,                 0.9516,                 1.7141,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.2175,                0.96175,                 1.5325,                0.78026,                 0.8209,                0.82041,                0.53739,                 1.3987,                0.93011,                 1.7774,               0.004357,               0.004357,               0.004357
                    116,                 1.1862,                0.93823,                 1.5088,                0.82609,                0.77988,                0.83942,                0.51078,                 1.4059,                0.92207,                 1.7931,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.1847,                0.92863,                 1.4989,                0.88222,                0.83582,                0.89722,                0.57622,                 1.3788,                0.83173,                 1.7258,               0.004258,               0.004258,               0.004258
                    118,                 1.2025,                0.96043,                 1.5229,                0.83825,                0.85085,                0.87173,                0.55903,                 1.3515,                0.92046,                 1.7637,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.2071,                0.96269,                  1.519,                0.86575,                0.77612,                0.85752,                0.54446,                 1.3644,                0.94236,                 1.6972,               0.004159,               0.004159,               0.004159
                    120,                 1.1681,                0.92681,                 1.4921,                0.86201,                0.82836,                0.86956,                0.57048,                 1.3587,                0.86584,                   1.72,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.1687,                0.93487,                 1.4931,                0.78231,                0.85821,                0.84208,                0.54208,                 1.4421,                 0.9212,                 1.7985,                0.00406,                0.00406,                0.00406
                    122,                 1.1629,                0.96731,                 1.4822,                0.78201,                0.88348,                0.87138,                 0.5427,                 1.3615,                0.89756,                 1.7809,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.1513,                0.94922,                 1.4812,                0.81624,                0.82873,                0.86604,                 0.5465,                 1.4339,                0.92337,                 1.8613,               0.003961,               0.003961,               0.003961
                    124,                 1.1756,                0.91595,                 1.4967,                0.81606,                0.82774,                0.85943,                0.53291,                 1.4481,                0.88105,                 1.8348,              0.0039115,              0.0039115,              0.0039115
                    125,                  1.171,                0.91863,                 1.4912,                0.88421,                0.85487,                0.88551,                0.56142,                 1.3844,                0.81678,                  1.743,               0.003862,               0.003862,               0.003862
                    126,                 1.1827,                0.94012,                 1.4991,                0.82666,                0.86567,                0.88561,                0.57476,                 1.3397,                0.86491,                 1.6885,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.1569,                0.92675,                 1.4771,                0.84242,                0.79791,                0.89016,                0.55976,                 1.3776,                0.88887,                 1.7489,               0.003763,               0.003763,               0.003763
